day;date;holiday
Friday;2016-01-01;New Years Day
Monday;2016-01-18;Martin Luther King Jr. Day
Friday;2016-02-12;Lincoln's Birthday
Monday;2016-02-15;Presidents' Day
Sunday;2016-05-08;Mother's Day
Monday;2016-05-30;Memorial Day
Sunday;2016-06-19;Father's Day
Monday;2016-07-04;Independence Day
Monday;2016-09-05;Labor Day
Monday;2016-10-10;Columbus Day
Friday;2016-11-11;Veterans Day
Thursday;2016-11-24;Thanksgiving
Monday;2016-12-26;Christmas Day (in lieu)
Tuesday;2016-11-08;Election Day
